package,loc_min,loc_max,loc_avg,loc_sum
kobuki_dock_drive,32.0,217.0,104.2,521.0
ecl_errors,1.0,44.0,20.1666666667,121.0
app_manager,23.0,44.0,30.4375,487.0
cob_scan_unifier,34.0,191.0,112.5,225.0
ecl_eigen,1.0,1026.0,63.0034662045,36353.0
pr2_controller_interface,18.0,21.0,19.5,39.0
cob_cartesian_controller,11.0,317.0,89.5833333333,1075.0
husky_base,1.0,839.0,138.423076923,3599.0
yocs_controllers,44.0,44.0,44.0,44.0
ecl_time,1.0,283.0,37.7333333333,1132.0
semantic_point_annotator,8.0,309.0,79.4444444444,715.0
cob_relayboard,8.0,319.0,115.222222222,1037.0
abb_driver,8.0,31.0,18.5,74.0
cob_interactive_teleop,4.0,134.0,37.5714285714,263.0
pr2_run_stop_auto_restart,36.0,36.0,36.0,36.0
cob_vision_utils,1.0,829.0,145.125,1161.0
pr2_gripper_action,162.0,162.0,162.0,162.0
turtlebot_panorama,33.0,332.0,139.0,417.0
ecl_mobile_robot,11.0,60.0,31.75,127.0
pr2_teleop_general,141.0,1190.0,652.25,2609.0
sr_robot_lib,7.0,627.0,120.483870968,3735.0
yocs_joyop,171.0,171.0,171.0,171.0
ecl_core_apps,5.0,314.0,98.2222222222,1768.0
ecl_utilities,11.0,267.0,65.3846153846,850.0
ecl_filesystem,1.0,11.0,5.0,20.0
yocs_waypoints_navi,13.0,352.0,137.333333333,412.0
ecl_concepts,13.0,142.0,51.2857142857,359.0
ecl_math,9.0,33.0,18.75,150.0
ros_ethercat_eml,3.0,206.0,72.1666666667,1299.0
cob_head_axis,115.0,359.0,249.666666667,749.0
simple_message,12.0,346.0,76.406779661,4508.0
abb_irb2400_moveit_plugins,181.0,2347.0,1047.66666667,3143.0
ecl_linear_algebra,3.0,96.0,40.2,201.0
pr2_navigation_perception,1.0,62.0,31.5,63.0
pr2_gripper_sensor_controller,14.0,378.0,122.0,1098.0
pr2_tilt_laser_interface,29.0,191.0,110.0,220.0
kobuki_driver,4.0,420.0,66.2894736842,2519.0
sr_gazebo_sim,31.0,161.0,96.0,192.0
hand_kinematics,51.0,506.0,276.571428571,1936.0
pr2_controller_manager,1.0,639.0,152.333333333,1371.0
ethercat_trigger_controllers,25.0,167.0,78.5,471.0
ecl_formatters,1.0,173.0,61.1666666667,367.0
pr2_calibration_controllers,20.0,359.0,117.2,1172.0
kobuki_ftdi,11.0,140.0,66.3333333333,796.0
ecl_sigslots_lite,18.0,120.0,51.4285714286,360.0
sr_tactile_sensors,21.0,177.0,76.2727272727,839.0
nao_teleop,16.0,173.0,72.0,216.0
grizzly_motion,21.0,204.0,67.7692307692,881.0
cob_generic_can,21.0,250.0,107.125,857.0
turtlebot_follower,194.0,194.0,194.0,194.0
ecl_type_traits,1.0,84.0,43.2857142857,303.0
sr_ronex_drivers,8.0,341.0,79.8888888889,1438.0
sr_edc_ethercat_drivers,1.0,236.0,69.0625,1105.0
kobuki_safety_controller,37.0,49.0,43.0,86.0
pr2_arm_move_ik,11.0,211.0,76.8571428571,538.0
cob_undercarriage_ctrl,68.0,436.0,293.666666667,881.0
pr2_computer_monitor,71.0,71.0,71.0,71.0
cob_pick_place_action,33.0,603.0,220.0,880.0
laser_tilt_controller_filter,1.0,105.0,53.0,106.0
sr_ronex_controllers,19.0,186.0,65.25,522.0
ros_ethercat_model,27.0,125.0,79.625,637.0
cob_model_identifier,14.0,619.0,230.333333333,691.0
cob_object_detection_visualizer,102.0,102.0,102.0,102.0
sr_mechanism_model,11.0,49.0,27.1,271.0
kobuki_bumper2pc,30.0,83.0,56.5,113.0
industrial_robot_client,7.0,241.0,61.1428571429,1284.0
schunk_powercube_chain,9.0,888.0,174.95,3499.0
yocs_waypoint_provider,13.0,139.0,65.8,329.0
cob_sick_lms1xx,30.0,329.0,121.4,607.0
cob_omni_drive_controller,4.0,164.0,80.25,642.0
yocs_cmd_vel_mux,20.0,99.0,49.4,247.0
ar_track_alvar,1.0,771.0,100.290780142,14141.0
cob_base_drive_chain,167.0,1073.0,588.666666667,1766.0
turtlebot_arm_kinect_calibration,27.0,278.0,127.333333333,382.0
yocs_ar_marker_tracking,8.0,140.0,70.0,420.0
grizzly_msgs,55.0,55.0,55.0,55.0
pr2_hardware_interface,303.0,303.0,303.0,303.0
yocs_virtual_sensor,109.0,164.0,136.5,273.0
kobuki_random_walker,52.0,318.0,185.0,370.0
ecl_command_line,8.0,238.0,83.8695652174,1929.0
power_monitor,33.0,201.0,103.166666667,619.0
kobuki_keyop,16.0,314.0,123.0,369.0
ecl_config,5.0,524.0,75.75,606.0
kdl_coupling,15.0,94.0,50.5,404.0
orocos_kdl,2.0,495.0,66.6987951807,11072.0
pr2_teleop,54.0,279.0,150.0,450.0
pr2_mechanism_model,20.0,436.0,118.5,2607.0
